Name,Run,ProB time (ms),ProB walltime (ms),States,Transitions,ProB memory (MB),ProB program memory (MB),Total walltime (sec),Max RSS (kB)
M0_AMAN_Update_prob_mc_mch.eventb,1,2,3,9,66,160.315,55.457,0.38,171936
M0_AMAN_Update_prob_mc_mch.eventb,2,2,2,9,66,160.315,55.457,0.35,171856
M0_AMAN_Update_prob_mc_mch.eventb,3,3,3,9,66,160.315,55.457,0.35,171984
M0_AMAN_Update_prob_mc_mch.eventb,4,2,2,9,66,160.315,55.457,0.35,171776
M0_AMAN_Update_prob_mc_mch.eventb,5,2,2,9,66,160.315,55.457,0.34,172128
M0_AMAN_Update_prob_mc_mch.eventb,Median,2,2,9,66,160.315,55.457,0.35,171936
M1_Landing_Sequence_prob_mc_mch.eventb,1,320468,330895,1505,2287908,1425.527,1320.669,331.28,1392608
M1_Landing_Sequence_prob_mc_mch.eventb,2,320215,330761,1505,2287908,1425.511,1320.654,331.15,1392704
M1_Landing_Sequence_prob_mc_mch.eventb,3,317605,327514,1505,2287908,1425.508,1320.65,327.88,1392672
M1_Landing_Sequence_prob_mc_mch.eventb,4,319201,328892,1505,2287908,1425.551,1320.693,329.26,1392720
M1_Landing_Sequence_prob_mc_mch.eventb,5,318904,329005,1505,2287908,1425.491,1320.634,329.38,1392672
M1_Landing_Sequence_prob_mc_mch.eventb,Median,319201,329005,1505,2287908,1425.511,1320.654,329.38,1392672
M2_Hold_Button_prob_mc_mch.eventb,1,2249300,2300999,9884,15045795,8354.092,8249.234,2301.68,2609840
M2_Hold_Button_prob_mc_mch.eventb,2,2205640,2236549,9884,15045795,8354.458,8249.601,2237.05,5390240
M2_Hold_Button_prob_mc_mch.eventb,3,2050125,2032132,9884,15045795,8354.367,8249.51,2032.62,6651696
M2_Hold_Button_prob_mc_mch.eventb,4,2026309,2008434,9884,15045795,8354.335,8249.478,2008.9,7225968
M2_Hold_Button_prob_mc_mch.eventb,5,2050266,2030718,9884,15045795,8354.143,8249.286,2031.2,6557840
M2_Hold_Button_prob_mc_mch.eventb,Median,2050266,2032132,9884,15045795,8354.335,8249.478,2032.62,6557840
M0_AMAN_Update_prob_mc2_mch.eventb,1,1,0,5,18,160.292,55.435,0.35,171936
M0_AMAN_Update_prob_mc2_mch.eventb,2,1,1,5,18,160.292,55.435,0.33,171728
M0_AMAN_Update_prob_mc2_mch.eventb,3,1,1,5,18,160.292,55.435,0.33,171936
M0_AMAN_Update_prob_mc2_mch.eventb,4,1,1,5,18,160.292,55.435,0.34,171776
M0_AMAN_Update_prob_mc2_mch.eventb,5,1,1,5,18,160.292,55.435,0.34,171872
M0_AMAN_Update_prob_mc2_mch.eventb,Median,1,1,5,18,160.292,55.435,0.34,171872
M1_Landing_Sequence_prob_mc2_mch.eventb,1,18,19,18,339,160.684,55.826,0.35,171888
M1_Landing_Sequence_prob_mc2_mch.eventb,2,19,19,18,339,160.684,55.826,0.35,171904
M1_Landing_Sequence_prob_mc2_mch.eventb,3,18,18,18,339,160.684,55.826,0.35,171872
M1_Landing_Sequence_prob_mc2_mch.eventb,4,18,19,18,339,160.684,55.826,0.37,172032
M1_Landing_Sequence_prob_mc2_mch.eventb,5,18,19,18,339,160.684,55.826,0.36,172144
M1_Landing_Sequence_prob_mc2_mch.eventb,Median,18,19,18,339,160.684,55.826,0.35,171904
M2_Hold_Button_prob_mc2_mch.eventb,1,50,52,46,913,161.066,56.208,0.39,172128
M2_Hold_Button_prob_mc2_mch.eventb,2,50,52,46,913,161.065,56.208,0.39,172096
M2_Hold_Button_prob_mc2_mch.eventb,3,49,50,46,913,161.065,56.208,0.39,172064
M2_Hold_Button_prob_mc2_mch.eventb,4,49,50,46,913,161.065,56.208,0.39,171984
M2_Hold_Button_prob_mc2_mch.eventb,5,50,50,46,913,161.064,56.207,0.39,172176
